targetname,datetime,tdb_utc_offset,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,lighttime,range,range_rate
,iso_utc,s,m,m,m,m/s,m/s,m/s,s,m,m/s
International Space Station (spa,2025-09-30 23:58:50.818,69.18236464262009,-2942224.4282296207,-3030118.6519176285,5315425.549615255,5841.334786956123,-4943.009630877196,413.4854851678419,0.0226460426324867,6789112.784765977,-1.5850248191838945
International Space Station (spa,2025-09-30 23:59:50.818,69.18236464262009,-2585288.305285737,-3319548.422115642,5328034.038606424,6052.018353138404,-4700.985812593902,6.638148945787306,0.02264579983467865,6789039.995814308,-0.8386976105985943
International Space Station (spa,2025-10-01 00:00:50.818,69.18236464262009,-2216536.4045154457,-3593806.3156980136,5316221.338762996,6235.045260280947,-4437.471213444575,-400.2479493244621,0.022645707151788576,6789012.210182879,-0.08829260947478021
International Space Station (spa,2025-10-01 00:01:50.818,69.18236464262009,-1837653.7768909852,-3851638.358449701,5280040.846226704,6389.581015858382,-4153.6636168852665,-805.3160061284273,0.022645764636220898,6789029.44358214,0.6585656916106489
International Space Station (spa,2025-10-01 00:02:50.818,69.18236464262009,-1450371.7104534141,-4091865.2233800236,5219657.169198703,6514.91943861272,-3850.8526524651793,-1206.7169710526096,0.02264597081692752,6789091.255002973,1.394341279561795
International Space Station (spa,2025-10-01 00:03:50.818,69.18236464262009,-1056459.9344777882,-4313387.577516033,5135345.421333996,6610.485848479005,-3530.4142899908743,-1602.6176028289847,0.022646322728349856,6789196.755393268,2.111697047631811
International Space Station (spa,2025-10-01 00:04:50.818,69.18236464262009,-657718.6467621428,-4515191.087944029,5027490.032770251,6675.839767616562,-3193.804981696638,-1991.2084975911177,0.022646815961273273,6789344.622903747,2.80360156696993
International Space Station (spa,2025-10-01 00:05:50.818,69.18236464262009,-255970.39377625557,-4696351.066168374,4896583.080931822,6710.677117863596,-2842.5554585606646,-2370.7120714859966,0.022647444734665668,6789533.124424578,3.4634303506818247
International Space Station (spa,2025-10-01 00:06:50.818,69.18236464262009,146948.16567438495,-4856036.730252594,4743222.144370295,6714.831897099139,-2478.264187206508,-2739.390477258157,0.022648201987203943,6789760.143024356,4.085059861128367
International Space Station (spa,2025-10-01 00:07:50.818,69.18236464262009,549194.5814462692,-4993515.064595358,4568107.684214862,6688.2773145078545,-2102.5904951321627,-3095.553431154387,0.022649079486852203,6790023.210800799,4.662952646581066
